value,value,value,value,value
0.849879361,0.655633429,0.391107617,0.111382299,0.696081924
0.748148276,0.832617918,0.380392566,0.942785546,0.768089966
0.486729279,0.809108777,0.525222803,0.81891832,0.508993748
0.410856914,0.033633474,0.474891331,0.096955961,0.96187438
0.253102226,0.845452273,0.060976308,0.706859033,0.686530283
0.499773627,0.915183488,0.568864346,0.285217179,0.730898433
0.544473919,0.467094352,0.47851602,0.307963014,0.118269159
0.825557239,0.360926847,0.722253034,0.111721212,0.785324019
0.247176222,0.01327589,0.088242988,0.94589249,0.805177783
0.030022778,0.386853022,0.470203903,0.437902624,0.688051027
0.362821939,0.197878159,0.255409079,0.535066788,0.388662243
0.850468582,0.562689324,0.453852523,0.277531701,0.865225626
0.887695553,0.491488934,0.68656013,0.533640373,0.226017324
0.949626219,0.363969124,0.53275914,0.307585757,0.728003152
0.177814698,0.882014744,0.241915599,0.522659863,0.125240272
0.378726677,0.379549307,0.50102786,0.56589314,0.438925407
0.229701631,0.723082405,0.323996628,0.163509924,0.523116855
0.593233029,0.724064955,0.957239502,0.596773993,0.249723082
